47,16.741,1415111009,user_group-2,5.272861,,{'Load_Front_Page': 0.6510000228881836, 'Delete': 0.5950000286102295}
48,16.743,1415111009,user_group-2,5.277956,,{'Load_Front_Page': 0.6319999694824219, 'Delete': 0.6200001239776611}
49,16.900,1415111009,user_group-1,5.770232,,{'Load_Front_Page': 0.5419998168945312, 'Delete': 1.2200000286102295}
50,16.916,1415111009,user_group-1,5.131731,,{'Load_Front_Page': 0.5419998168945312, 'Delete': 0.5829999446868896}
51,16.936,1415111010,user_group-2,5.185884,,{'Load_Front_Page': 0.5970001220703125, 'Delete': 0.5820000171661377}
52,17.225,1415111010,user_group-2,5.763095,,{'Load_Front_Page': 0.5920000076293945, 'Delete': 1.1600000858306885}
53,17.279,1415111010,user_group-1,5.175679,,{'Load_Front_Page': 0.5690000057220459, 'Delete': 0.5950000286102295}
54,17.288,1415111010,user_group-1,5.233683,,{'Load_Front_Page': 0.5870001316070557, 'Delete': 0.6329998970031738}
55,17.308,1415111010,user_group-1,5.224251,,{'Load_Front_Page': 0.5499999523162842, 'Delete': 0.6589999198913574}
56,17.349,1415111010,user_group-2,5.200000,,{'Load_Front_Page': 0.5669999122619629, 'Delete': 0.6180000305175781}
57,17.589,1415111010,user_group-1,5.169582,,{'Load_Front_Page': 0.5989999771118164, 'Delete': 0.562000036239624}
58,17.607,1415111010,user_group-1,5.165639,,{'Load_Front_Page': 0.5970001220703125, 'Delete': 0.562000036239624}
59,18.489,1415111011,user_group-2,5.168134,,{'Load_Front_Page': 0.6050000190734863, 'Delete': 0.5559999942779541}
60,18.768,1415111011,user_group-2,5.233225,,{'Load_Front_Page': 0.6180000305175781, 'Delete': 0.6069998741149902}
61,21.806,1415111014,user_group-1,5.157517,,{'Load_Front_Page': 0.5540001392364502, 'Delete': 0.5939998626708984}
62,21.859,1415111014,user_group-2,5.171350,,{'Load_Front_Page': 0.5469999313354492, 'Delete': 0.6130001544952393}
63,21.913,1415111014,user_group-1,5.221007,,{'Load_Front_Page': 0.5810000896453857, 'Delete': 0.6319999694824219}
64,21.946,1415111015,user_group-2,5.263810,,{'Load_Front_Page': 0.6170001029968262, 'Delete': 0.6380000114440918}
65,21.976,1415111015,user_group-2,5.230876,,{'Load_Front_Page': 0.5710000991821289, 'Delete': 0.6440000534057617}
66,21.989,1415111015,user_group-1,5.253663,,{'Load_Front_Page': 0.6019999980926514, 'Delete': 0.6429998874664307}
67,21.992,1415111015,user_group-2,5.280918,,{'Load_Front_Page': 0.5970001220703125, 'Delete': 0.6740000247955322}
68,21.997,1415111015,user_group-2,5.255734,,{'Load_Front_Page': 0.6269998550415039, 'Delete': 0.6190001964569092}
69,22.088,1415111015,user_group-2,5.152077,,{'Load_Front_Page': 0.5469999313354492, 'Delete': 0.5969998836517334}
70,22.115,1415111015,user_group-1,5.214700,,{'Load_Front_Page': 0.5989999771118164, 'Delete': 0.6069998741149902}
71,22.129,1415111015,user_group-1,5.213665,,{'Load_Front_Page': 0.5999999046325684, 'Delete': 0.6050000190734863}
72,22.395,1415111015,user_group-2,5.170354,,{'Load_Front_Page': 0.5720000267028809, 'Delete': 0.5910000801086426}
73,22.445,1415111015,user_group-1,5.157424,,{'Load_Front_Page': 0.5410001277923584, 'Delete': 0.6049997806549072}
74,22.470,1415111015,user_group-1,5.190899,,{'Load_Front_Page': 0.567000150680542, 'Delete': 0.6129999160766602}
75,22.504,1415111015,user_group-1,5.196017,,{'Load_Front_Page': 0.5799999237060547, 'Delete': 0.6019999980926514}
76,22.505,1415111015,user_group-2,5.156041,,{'Load_Front_Page': 0.5769999027252197, 'Delete': 0.5720000267028809}
